YEAR,keyword1,keyword2
1998,10,177
1998,1,5054
1998,10,343
1998,1,1410
1998,9,4264
1998,7,39
1998,7,1790
1998,6,28
1998,10,104
1998,31,846
1998,31,400
1998,1,16088
1998,1,598
1998,3,166
1998,9,1275
1998,3,57
1998,1,2631
1998,9,6144
1998,10,10152
1998,9,4725
1998,9,3177
1998,31,2595
1998,1,13776
1998,9,4885
1998,1,345
1998,1,1469
1998,10,182
1999,6,28
1999,29,31
1999,11,18
1999,1,4304
1999,10,9622
1999,7,406
1999,11,7583
1999,9,1816
1999,31,5089
1999,1,3392
1999,1,1738
1999,1,2643
1999,11,4348
1999,7,2936
1999,9,10358
1999,1,4654
1999,10,15427
1999,31,76
1999,31,2845
1999,31,291
1999,5,594
1999,9,1764
1999,7,41
1999,7,12697
1999,10,2645
1999,3,3584
1999,31,1087
1999,31,182
1999,31,3740
1999,31,1164
1999,1,15773
1999,1,1596
2000,11,2654
2000,7,2436
2000,7,10256
2000,7,1007
2000,10,200
2000,3,158
2000,11,831
2000,4,40
2000,7,159
2000,6,111
2000,9,597
2000,10,698
2000,31,8994
2000,31,774
2000,5,5815
2000,9,1115
2000,6,23
2000,9,399
2000,9,1379
2000,31,4619
2000,1,8947
2000,1,2003
2001,9,1642
2001,1,7655
2001,6,122
2001,7,40
2001,7,41
2001,9,16911
2001,31,423
2001,7,2934
2001,7,218
2001,3,1022
2001,31,762
2001,1,891
2001,11,1855
2001,31,400
2001,31,129
2001,1,7636
2001,1,514
2001,7,12763
2001,9,661
2001,11,267
2001,3,251
2001,1,8453
2001,10,104
2001,6,97
2001,10,21
2001,3,7
2001,6,459
2001,10,31
2001,7,3584
2001,31,182
2001,31,149
2001,31,3002
2001,1,16488
2001,9,7974
2001,1,2767
2001,9,5678
2001,3,729
2001,1,85
2001,3,568
2001,11,170
2001,11,927
2002,7,2560
2002,1,14342
2002,7,2326
2002,5,9973
2002,1,19087
2002,6,39
2002,5,1720
2002,3,1565
2002,31,6524
2002,9,3183
2002,1,5845
2002,11,13
2002,4,227
2002,1,9626
2002,31,4327
2002,10,5890
2002,10,698
2002,10,21
2002,31,129
2002,10,264
2002,10,779
2002,7,3437
2002,10,744
2002,1,2486
2002,9,165
2002,10,6105
2002,5,58
2002,31,769
2002,31,240
2002,31,605
2002,31,573
2002,7,3450
2002,31,11783
2002,11,419
2002,1,345
2002,5,817
2002,4,40
2002,9,10973
2002,237,1433
2002,1,320
2002,5,1029
2002,7,2917
2002,11,170
2003,10,826
2003,33,70
2003,1,50
2003,1,15230
2003,5,304
2003,3,69
2003,6,218
2003,6,23
2003,7,197
2003,7,120
2003,7,673
2003,6,389
2003,5,4841
2003,5,13
2003,1,2370
2003,7,86
2003,7,304
2003,31,64
2003,1,2078
2003,4,39
2003,3,729
2003,7,2934
2003,1,7659
2003,31,1528
2003,11,15
2003,9,1284
2003,11,1233
2003,3,14139
2003,24,31
2003,31,267
2003,7,1265
2003,1,598
2003,7,39
2003,3,103
2003,3,25
2003,7,14
2003,10,177
2003,10,525
2003,10,242
2003,1,132
2003,7,123
2003,11,1505
2003,33,1402
2003,5,58
2003,9,34
2003,3,4090
2003,6,75
2003,3,3000
2003,4,28
2003,3,89
2003,5,77
2003,9,112
2003,10,18278
2003,10,1222
2003,5,67
2003,5,245
2003,31,185
2003,4,1790
2003,10,104
2003,31,194
2003,1,2036
2003,31,3034
2003,31,2334
2003,9,5189
2003,3,31
2003,6,28
2003,1,788
2003,31,76
2003,9,1568
2003,11,17220
2003,33,75
2003,31,6872
2003,1,491
2003,6,1496
2003,31,242
2003,10,126
2003,7,364
2003,6,97
2003,9,543
2003,31,555
2003,31,18963
2003,31,126
2003,31,138
2003,9,11
2003,5,866
2003,7,154
2003,11,102
2003,7,113
2003,31,14095
2003,1,6721
2003,9,4185
2003,9,1276
2003,1,803
2003,1,4707
2003,1,8431
2003,7,8816
2003,6,1999
2003,9,19964
2003,1,841
2003,10,38
2003,1,616
2003,1,13546
2003,9,3028
2003,7,577
2004,3,8281
2004,4,594
2004,7,496
2004,3,183
2004,6,39
2004,6,95
2004,5,9133
2004,7,40
2004,10,12506
2004,10,200
2004,31,745
2004,9,403
2004,5,115
2004,9,1405
2004,7,10055
2004,1,9396
2004,1,651
2004,1,2811
2004,7,22
2004,10,104
2004,10,374
2004,11,1107
2004,3,2520
2004,1,4460
2004,7,121
2004,31,149
2004,11,36
2004,5,2223
2004,31,7212
2004,31,1494
2004,7,202
2004,11,753
2004,11,3599
2004,31,554
2004,5,50
2004,3,103
2004,31,8762
2004,24,31
2004,7,1339
2004,10,525
2004,31,64
2004,7,196
2004,7,3113
2004,5,14
2004,11,783
2004,3,13
2004,4,97
2004,1,1992
2004,1,931
2004,9,12739
2004,9,416
2004,1,677
2004,3,413
2004,11,615
2004,7,316
2004,1,11486
2004,33,1402
2004,7,11
2004,9,2318
2004,9,452
2004,3,7
2004,3,47
2004,3,69
2004,10,511
2004,1,1062
2004,1,1857
2004,3,11126
2004,10,60
2004,1,935
2004,31,129
2004,31,194
2004,7,5237
2004,31,519
2004,31,3923
2004,6,28
2004,33,1550
2004,1,13767
2004,9,177
2004,10,693
2004,9,591
2004,9,15439
2004,7,34
