YEAR,keyword1,keyword2,keyword3
1998,10,177,5689
1998,10,343,748
1998,7,39,615
1998,7,1790,2491
1998,6,28,5132
1998,31,846,2570
1998,1,2631,18700
1998,10,104,16890
1998,10,10152,17319
1998,9,4725,7920
1998,9,3177,12490
1998,10,182,526
1999,6,28,8497
1999,29,31,218
1999,7,406,3805
1999,1,3392,5071
1999,1,1738,7702
1999,1,4654,4696
1999,5,594,2132
1999,7,41,1197
1999,3,3584,6054
1999,31,182,4619
1999,31,3740,4916
1999,31,1164,2645
2000,11,2654,13403
2000,7,1007,12478
2000,3,158,482
2000,4,40,633
2000,6,111,6250
2000,9,597,1525
2000,9,399,4757
2001,9,1642,11858
2001,6,122,2199
2001,7,41,602
2001,3,1022,6250
2001,11,1855,2115
2001,1,7636,9799
2001,9,661,743
2001,10,104,300
2001,6,97,2395
2001,3,7,190
2001,6,459,943
2001,10,31,555
2001,31,3002,6892
2001,1,2767,8315
2001,3,729,11121
2002,7,2560,3154
2002,6,39,122
2002,31,6524,12510
2002,11,13,855
2002,31,4327,7827
2002,31,129,2963
2002,10,264,1795
2002,7,3437,5621
2002,9,165,7920
2002,5,58,3210
2002,31,769,4511
2002,31,605,4512
2002,31,573,766
2002,9,10973,14811
2002,1,320,14812
2002,7,2917,3330
2003,10,826,995
2003,33,70,5656
2003,5,304,586
2003,3,69,75
2003,6,218,574
2003,6,23,447
2003,7,197,3357
2003,7,120,603
2003,6,389,1485
2003,5,4841,11950
2003,5,13,7167
2003,1,2370,4304
2003,7,86,1357
2003,7,304,3702
2003,31,64,2346
2003,1,2078,11674
2003,4,39,122
2003,3,729,1565
2003,7,2934,7976
2003,31,1528,3740
2003,11,15,527
2003,31,64,338
2003,9,1284,5526
2003,11,1233,1855
2003,24,31,391
2003,31,267,1570
2003,7,1265,7695
2003,1,598,9910
2003,7,39,866
2003,3,103,711
2003,3,25,188
2003,7,14,166
2003,10,525,1564
2003,10,242,1447
2003,1,132,4622
2003,10,177,217
2003,7,123,5575
