orgnid,keyword1
100027,3
100404,10
100112,1
200654,1
201016,11
201016,10
201016,7
100073,1
100296,9
100296,7
100296,6
100296,10
100296,31
100044,31
100114,1
100070,1
100113,3
100113,9
201149,1
100391,10
100330,9
100330,31
100453,10
100057,9
100181,9
100181,31
201361,31
201393,1
100241,9
400018,1
201260,1
201260,10
100027,1
100027,6
100404,29
201243,11
100111,1
200654,10
100296,11
100114,31
100113,11
100113,7
100391,31
100057,1
100181,5
201361,7
201361,10
100241,3
201214,31
400018,9
400018,31
100152,31
100404,3
100404,11
201243,9
201243,7
100111,7
200654,9
201016,3
100296,5
100296,4
201149,9
100461,31
100453,31
200625,1
201361,5
201361,9
201361,6
201393,31
201393,9
100152,1
201260,31
100219,1
100027,9
201243,6
100111,9
201016,31
100296,3
100296,1
100070,7
201149,31
100461,9
100453,1
201361,3
100241,7
201260,9
100081,1
100081,9
100219,3
100219,11
100300,11
100027,7
100090,31
100112,5
201016,6
201016,5
100113,1
100113,4
201149,10
100330,10
100461,10
100461,7
100057,10
100181,1
100241,1
201214,11
100152,5
100152,4
100219,237
100219,5
100219,7
100027,10
100027,33
100027,5
100111,5
100111,10
100112,31
201016,4
201016,1
100296,24
100044,7
201180,10
100114,10
100070,9
100113,33
100113,5
100113,6
100391,5
100391,1
100391,4
100330,1
100453,9
100453,3
100453,6
100181,11
100181,33
100181,6
201361,1
100241,31
201214,9
201214,5
201214,7
100152,9
100152,7
100152,6
201260,7
100027,4
100404,31
201243,5
200654,7
201016,9
100073,31
100044,1
100044,9
201180,9
100391,3
100330,7
100453,33
200625,7
200625,5
100181,3
100181,4
201361,11
201214,3
201214,10
201214,6
201214,1
201214,4
400018,10
400018,6
400018,3
400018,7
100152,3
201260,5
100300,9
100300,1
100404,9
201243,10
201243,31
100111,3
100111,31
200654,31
100073,11
100073,10
100296,33
201180,1
100114,9
100113,10
100391,9
100391,11
201393,6
400018,5
100152,33
100063,9
100219,31
100219,10
201180,31
100330,24
100461,3
100453,7
201393,3
100081,6
100219,9
100090,10
100112,7
100112,9
200654,4
100296,2
100044,10
100391,33
100391,7
100391,21
100330,11
100461,5
100461,1
200625,33
200625,31
200625,9
100057,31
100181,10
201361,25
201361,4
400018,11
100152,10
201260,4
100063,11
100063,6
100219,6
100027,31
100027,41
100404,33
201243,1
201243,4
201243,3
201243,1433
100111,24
200654,8
201016,2
201016,33
100073,5
100296,8
100044,5
100113,2
100461,11
100453,8
100453,5
200625,6
200625,49
201361,16
201393,10
400018,2
201260,3
100063,10
100081,31
100219,8
100027,11
100027,2
100404,1
100404,8
100404,6
201243,2
100111,27
100111,150
100111,2
200654,2
200654,6
201016,23
100073,3
100044,8
100070,31
100070,10
100113,31
201149,5
201149,8
201149,3
100391,6
100330,2
100330,8
100461,8
100453,2
200625,3
200625,11
200625,2
100057,4
100181,14
100181,8
201393,11
100241,10
100241,24
201214,2
201214,28
400018,32
400018,4
100152,2
100152,11
100152,8
100152,15
201260,8
201260,33
100219,4
100027,8
100404,25
201243,8
100073,7
100073,9
100073,4
100073,8
100073,2
100296,25
201180,8
100114,8
100070,5
100113,8
100391,18
100391,8
100391,2
100330,3
100461,4
100461,2
100453,11
200625,8
200625,4
200625,10
100057,8
100181,7
100181,2
201361,2
201361,8
201361,33
201361,675
201393,8
100241,8
100241,33
201214,8
400018,33
400018,8
400018,1433
201260,6
100081,4
100219,33
100027,18
100404,4
201243,25
100090,9
100090,8
201617,11
100070,8
201149,16
100391,16
100330,5
100461,33
200625,36
200625,18
100181,43
201361,13
201361,1433
201214,20
100152,102
100152,1433
100152,856
100063,8
100081,5
100219,2
100300,31
100300,8
100404,5
201243,33
100111,6
200654,5
201016,8
100114,11
100114,4
100070,4
100070,6
100391,15
100391,13
100330,4
100461,6
100453,4
200625,1433
100181,16
201361,21
100241,16
201214,33
100152,25
100152,13
100063,3
100063,31
100300,5
100404,2
100112,11
201016,27
100073,6
201180,3
100114,33
201149,2
100330,6
100461,18
100461,16
200625,608
200625,380
100057,21
201361,653
400018,27
100081,8
100081,10
201243,13
100112,10
100112,8
201149,6
100181,13
201361,49
201393,7
100241,4
100241,5
100152,24
100300,3
100027,602
100027,13
100111,4
100112,4
200654,21
201016,13
100070,11
100113,160
201149,7
100391,12
100391,26
100453,12
100057,5
100181,15
100181,18
201393,5
201214,15
100152,12
201260,2
100063,7
100063,1
100300,7
100404,13
100111,33
201016,17
100296,12
100296,17
100114,13
100113,12
100330,33
200625,12
200625,1081
201361,15
100152,22
100300,4
100027,15
100027,285
100027,102
100404,516
200654,3
201016,12
201180,2
200625,504
100057,3
100181,24
400018,15
100063,2
100063,33
100063,4
100081,33
100219,25
100300,33
100300,10
