orgnid,keyword1,keyword2
100404,10,177
100112,1,5054
201016,10,343
100073,1,1410
100296,9,4264
100296,7,39
100296,7,1790
100296,6,28
100296,10,104
100296,31,846
100044,31,400
100114,1,16088
100114,1,598
100113,3,166
100113,9,1275
100113,3,57
201149,1,2631
100391,10,104
100330,9,6144
100453,10,10152
100057,9,4725
100181,9,3177
201361,31,2595
201393,1,13776
100241,9,4885
400018,1,345
201260,1,1469
201260,10,182
100027,6,28
100404,29,31
201243,11,18
100111,1,4304
200654,10,9622
100296,7,406
100296,11,7583
100296,9,1816
100044,31,5089
100114,1,3392
100114,1,1738
100114,1,2643
100113,11,4348
100113,7,2936
100113,9,10358
201149,1,4654
100391,10,15427
100391,31,76
100330,31,2845
100330,31,291
100181,5,594
100181,9,1764
201361,7,41
201361,7,12697
201361,10,2645
100241,3,3584
201214,31,1087
400018,31,182
400018,31,3740
100152,31,1164
201260,1,15773
201260,1,1596
100404,11,2654
201243,7,2436
100111,7,10256
100111,7,1007
200654,10,200
201016,3,158
201016,11,831
100296,4,40
100296,7,159
100296,6,111
100113,9,597
100391,10,698
100461,31,8994
100453,31,774
201361,5,5815
201361,9,1115
201361,6,23
201393,9,399
100241,9,1379
400018,31,4619
400018,1,8947
100152,1,2003
100027,9,1642
100027,1,7655
201243,6,122
201243,7,40
201243,7,41
100111,9,16911
201016,31,423
201016,7,2934
201016,7,218
100296,3,1022
100296,31,762
100296,1,891
100296,11,1855
100044,31,129
100114,1,7636
100114,1,514
100070,7,12763
100113,9,661
100113,11,267
100113,3,251
100453,1,8453
100453,10,104
201361,6,97
201361,10,21
201361,3,7
201361,6,459
201361,10,31
100241,7,3584
100152,31,149
100152,31,3002
201260,1,16488
201260,9,7974
100081,1,2767
100081,9,5678
100219,3,729
100219,1,85
100219,3,568
100219,11,170
100300,11,927
100027,7,2560
100027,1,14342
201243,7,2326
100112,5,9973
200654,1,19087
201016,6,39
201016,5,1720
201016,3,1565
100296,31,6524
100296,9,3183
100113,1,5845
100113,11,13
100113,4,227
201149,1,9626
201149,31,4327
201149,10,5890
100391,10,21
100330,31,129
100330,10,264
100461,10,779
100461,7,3437
100461,10,744
100057,1,2486
100057,9,165
100057,10,6105
100181,5,58
201361,31,769
201361,31,240
201361,31,605
201361,31,573
201361,7,3450
201361,31,11783
201214,11,419
100152,5,817
100152,4,40
201260,9,10973
100219,237,1433
100219,1,320
100219,5,1029
100219,7,2917
100027,10,826
100027,33,70
100027,1,50
100027,1,15230
100027,5,304
100027,3,69
100027,6,218
201243,6,23
201243,7,197
201243,7,120
201243,7,673
201243,6,389
100111,5,4841
100111,5,13
100111,1,2370
100111,7,86
100111,7,304
100112,31,64
200654,1,2078
201016,4,39
201016,3,729
201016,1,7659
201016,31,1528
100296,11,15
100296,31,64
100296,9,1284
100296,11,1233
100296,3,14139
100296,24,31
100296,31,267
100296,7,1265
100296,1,598
100296,3,103
100296,3,25
100044,7,14
201180,10,177
100114,10,525
100114,10,242
100114,1,132
100114,10,177
100113,7,123
100113,11,1505
100113,33,1402
100113,5,58
100113,9,34
100113,3,4090
100113,6,75
100113,3,3000
100113,4,28
100113,3,89
100113,5,77
201149,9,112
201149,10,18278
100391,10,1222
100391,5,67
100391,5,245
100391,31,185
100391,4,1790
100330,31,194
100330,1,2036
100461,31,3034
100453,31,2334
