orgnid,keyword1,keyword2,keyword3
100404,10,177,5689
201016,10,343,748
100296,7,39,615
100296,7,1790,2491
100296,6,28,5132
100296,31,846,2570
201149,1,2631,18700
100391,10,104,16890
100453,10,10152,17319
100057,9,4725,7920
100181,9,3177,12490
201260,10,182,526
100027,6,28,8497
100404,29,31,218
100296,7,406,3805
100114,1,3392,5071
100114,1,1738,7702
201149,1,4654,4696
100181,5,594,2132
201361,7,41,1197
100241,3,3584,6054
400018,31,182,4619
400018,31,3740,4916
100152,31,1164,2645
100404,11,2654,13403
100111,7,1007,12478
201016,3,158,482
100296,4,40,633
100296,6,111,6250
100113,9,597,1525
201393,9,399,4757
100027,9,1642,11858
201243,6,122,2199
201243,7,41,602
100296,3,1022,6250
100296,11,1855,2115
100114,1,7636,9799
100113,9,661,743
100453,10,104,300
201361,6,97,2395
201361,3,7,190
201361,6,459,943
201361,10,31,555
100152,31,3002,6892
100081,1,2767,8315
100219,3,729,11121
100027,7,2560,3154
201016,6,39,122
100296,31,6524,12510
100113,11,13,855
201149,31,4327,7827
100330,31,129,2963
100330,10,264,1795
100461,7,3437,5621
100057,9,165,7920
100181,5,58,3210
201361,31,769,4511
201361,31,605,4512
201361,31,573,766
201260,9,10973,14811
100219,1,320,14812
100219,7,2917,3330
100027,10,826,995
100027,33,70,5656
100027,5,304,586
100027,3,69,75
100027,6,218,574
201243,6,23,447
201243,7,197,3357
201243,7,120,603
201243,6,389,1485
100111,5,4841,11950
100111,5,13,7167
100111,1,2370,4304
100111,7,86,1357
100111,7,304,3702
100112,31,64,2346
200654,1,2078,11674
201016,4,39,122
201016,3,729,1565
201016,7,2934,7976
201016,31,1528,3740
100296,11,15,527
100296,31,64,338
100296,9,1284,5526
100296,11,1233,1855
100296,24,31,391
100296,31,267,1570
100296,7,1265,7695
100296,1,598,9910
100296,7,39,866
100296,3,103,711
100296,3,25,188
100044,7,14,166
100114,10,525,1564
100114,10,242,1447
100114,1,132,4622
100114,10,177,217
100113,7,123,5575
100113,11,1505,16640
100113,33,1402,6789
100113,5,58,13432
100113,9,34,9476
100113,6,75,92
100113,3,3000,18031
100113,4,28,16202
100113,3,89,1008
100113,5,77,2965
201149,9,112,751
100391,10,1222,5513
100391,5,67,10237
100391,5,245,401
100391,31,185,220
100391,4,1790,3871
100391,10,104,5457
100330,31,194,2261
100330,1,2036,5066
100461,31,3034,4327
100453,3,31,267
100453,6,28,5132
100453,1,788,6307
100057,1,2036,5066
100181,31,76,300
100181,9,1568,1757
100181,33,75,218
100181,6,1496,3197
201361,31,242,19400
201361,10,126,550
201361,7,364,2123
201361,6,23,1000
201361,9,543,645
201361,6,75,97
201361,31,555,1031
201393,31,126,1845
100241,31,138,317
201214,9,11,1020
201214,7,154,9705
201214,11,102,202
201214,7,113,431
400018,31,14095,14556
100152,9,1276,6666
100152,1,803,1003
100152,1,4707,19196
100152,6,1999,2899
100152,1,841,2643
201260,10,38,5331
201260,1,616,2052
201260,1,13546,16572
201260,9,3028,7187
201260,7,86,160
201260,7,577,6100
100027,3,8281,19160
100027,4,594,2957
100027,3,183,1690
100027,6,39,574
100027,6,95,7010
100027,5,9133,18338
100027,7,40,944
100404,10,200,519
100404,31,745,1403
201243,9,403,452
201243,5,115,603
201243,9,1405,1568
200654,7,22,126
200654,10,104,826
200654,10,374,1096
201016,11,1107,8438
201016,3,2520,6746
201016,7,121,11753
201016,31,149,5194
201016,11,36,263
201016,5,2223,2870
100296,31,1494,8442
100296,7,202,1631
100296,11,753,3263
100296,31,554,1528
100296,5,50,18969
100296,31,8762,13499
100296,24,31,762
100296,7,1339,1790
100296,10,525,1787
100296,31,64,3102
100296,7,196,1265
100296,7,3113,6486
100296,11,783,9765
100296,3,183,193
100044,1,1992,3077
100044,1,931,1563
201180,9,416,1816
100114,1,677,5838
100113,3,413,2577
100113,11,615,950
100113,7,316,2497
100113,7,11,44
100113,3,7,292
100113,3,69,2921
201149,10,511,694
201149,1,1062,1866
100391,1,1857,2811
100391,10,104,704
100391,10,60,242
100330,1,935,998
100330,31,129,2556
100330,31,194,2845
100330,31,519,3783
100453,33,1550,1656
100453,9,177,4395
100453,10,693,5380
100453,9,591,2001
200625,7,34,554
200625,5,1635,1971
100057,10,264,2085
100057,1,1410,3427
100181,33,179,535
100181,3,34,447
100181,4,337,1402
201361,31,76,14560
201361,7,58,896
201361,11,15,75
201361,10,400,3248
201361,7,675,5598
201361,3,150,6238
201361,3,168,336
201361,6,97,218
201393,1,969,2615
201393,9,1100,5247
201214,3,337,831
201214,10,182,300
201214,11,729,5398
201214,11,43,320
201214,11,75,223
201214,11,1192,1317
201214,3,92,13528
201214,31,2324,9080
201214,4,319,328
400018,10,126,161
400018,6,201,569
400018,7,502,615
100152,7,286,1431
100152,31,242,1163
100152,3,28,47
100152,9,278,403
100152,7,665,982
100152,5,28,433
100152,6,569,5494
201260,5,20,8752
201260,1,2591,9263
201260,10,30,703
100081,1,467,726
100219,1,3802,4286
100300,9,1260,6004
100300,1,1546,18145
100300,9,6607,10767
100027,1,3238,3337
100027,5,14,77
100027,1,46,228
100027,1,5719,15611
100027,33,159,484
100027,6,39,1431
100027,1,345,5624
100027,10,235,265
100027,7,179,2337
100027,3,75,118
100404,9,403,9045
100404,9,101,452
201243,7,5973,6588
201243,7,134,608
201243,10,16,15503
201243,31,131,2117
201243,11,218,943
100111,5,386,860
100111,3,443,3927
100111,7,304,818
200654,9,4087,15643
200654,31,76,1695
200654,1,1826,3648
200654,1,138,1164
201016,11,161,1855
201016,7,18,58
201016,7,157,2934
201016,7,49,154
100073,11,990,3201
100073,10,306,9451
100073,1,174,1992
100073,31,423,10534
100296,3,26,9749
100296,33,630,1196
100296,5,5442,9158
100296,7,349,912
100296,7,1366,2692
100296,6,100,7010
100296,31,64,766
100296,31,59,8865
100296,7,181,337
100296,11,989,1855
100296,7,896,1790
100296,10,816,8937
100296,7,89,147
100044,31,826,1918
201180,10,7171,7552
100114,1,132,3368
100114,9,416,452
100113,10,70,154
100113,3,28,89
100113,9,743,2475
100113,3,28,2426
100113,7,190,715
100113,3,89,6861
201149,1,532,7342
201149,9,260,3115
201149,9,207,899
201149,10,1493,12211
201149,9,1115,1642
201149,1,2631,8228
201149,31,721,3096
100391,10,5177,6876
100391,10,748,1762
100391,9,4713,6656
100391,1,12042,19323
100391,11,615,2601
100391,1,73,268
100330,31,64,194
100330,10,1147,5651
100330,31,904,2403
100461,31,463,554
100461,31,317,605
100453,31,300,745
100453,31,64,745
100453,10,264,5380
100453,10,300,721
100453,3,20,1119
100453,3,28,1383
100057,1,4158,10887
100181,33,337,2563
201361,31,64,72
201361,11,27,3389
201361,6,97,111
201361,31,2598,15327
201361,3,18,22
201393,6,39,15621
100241,31,76,290
100241,9,54,278
100241,1,231,13681
201214,11,183,1855
201214,31,779,1103
201214,7,125,284
201214,7,125,15900
201214,31,291,13423
201214,3,1327,8852
201214,7,40,738
201214,4,237,437
201214,31,192,563
400018,5,5205,6354
400018,7,3452,5186
400018,6,27,188
400018,7,14,75
400018,7,818,9921
100152,7,202,12710
100152,33,103,185
100152,6,2104,4660
100152,3,110,158
100152,3,34,188
100152,7,50,498
201260,10,609,918
201260,10,1956,3089
201260,10,265,5111
201260,1,2677,9857
201260,10,21,221
201260,10,203,698
201260,1,85,523
201260,1,523,2458
100063,9,378,979
100081,1,677,1076
100219,5,6,92
100219,31,160,934
100219,3,69,123
100219,10,192,18709
100027,7,299,502
100404,9,257,8700
100111,31,240,10349
200654,10,198,871
200654,10,2387,7402
201016,3,7,39
201016,7,248,367
100296,4,418,2170
100296,7,86,818
100296,3,53,312
100296,3,25,8224
100044,31,851,14954
100044,9,1405,1816
100114,1,1164,14937
100113,7,58,381
201149,10,696,4153
201149,31,1703,2477
100391,31,745,6714
100330,10,264,1147
100330,24,31,240
100461,3,11,102
100453,6,19,1299
100453,7,14,135
100453,31,300,11279
200625,1,641,688
100181,1,514,2251
201361,10,126,177
201393,31,2082,6890
201393,1,2090,5038
100241,31,38,693
201214,11,4559,14620
400018,3,349,2290
100152,5,739,4969
100152,7,759,1403
100152,3,49,169
100152,6,295,2104
100152,7,13,1943
100081,6,28,286
100219,9,543,8581
100027,1,231,268
100027,1,5094,8840
100027,3,89,735
100027,7,58,218
100027,6,171,349
100027,6,37,13568
100027,1,4984,6167
100027,3,354,421
100404,11,170,183
100404,11,2109,2148
201243,7,75,11077
201243,11,8654,15751
201243,11,988,2904
201243,6,122,830
201243,5,40,122
201243,9,280,17577
100090,10,104,6367
100111,7,86,1117
100111,5,75,223
100111,1,140,231
100112,7,182,4466
100112,9,6972,7092
200654,10,21,342
200654,10,374,1639
200654,4,14,95
200654,10,374,2513
