orgnid,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8
100027,14213,17550,,,,,,
100027,212675,91451,161162,,,,,
100027,62250,5824,3115,,,,,
100027,215440,10710,133913,,,,,
100027,70,159162,170572,,,,,
100027,7010,17832,,,,,,
100027,97322,4715,212618,,,,,
100027,73915,204480,,,,,,
100027,36802,417,4465,,,,,
100027,899,36743,134259,,,,,
100027,612,263,205103,,,,,
100027,66418,,,,,,,
100027,115613,76692,,,,,,
100027,115472,203549,82167,,,,,
100027,19942,18786,32224,,,,,
100027,177578,27885,9832,,,,,
100027,3530,8433,551,,,,,
100027,28185,45601,84751,,,,,
100027,208684,22287,111256,,,,,
100027,207780,351,278,,,,,
100027,9133,1320,5466,,,,,
100027,43291,40029,218353,,,,,
100027,37727,175504,822,,,,,
100027,6111,123207,931,,,,,
100027,174609,14309,284,,,,,
100027,89963,9491,9021,,,,,
100027,4693,351,4897,,,,,
100027,4349,75302,638,,,,,
100027,157505,4404,166408,,,,,
100027,110788,436,3331,,,,,
100027,179477,138941,,,,,,
100027,77,14280,84671,,,,,
100027,3456,17735,145869,,,,,
100027,162627,224077,80182,,,,,
100027,57407,129060,58353,,,,,
100027,155468,112324,210498,,,,,
100027,23,3882,29995,,,,,
100027,3150,123332,44398,,,,,
100027,991,35,188,,,,,
100027,6641,94479,95503,,,,,
100027,150789,218692,729,,,,,
100027,119860,100,224782,,,,,
100027,12127,2793,13285,,,,,
100027,185887,51723,4314,,,,,
100027,39406,22842,1680,,,,,
100027,70545,143956,1040,,,,,
100027,130253,62994,77329,,,,,
100027,11960,42013,155120,,,,,
100027,160776,23,1271,,,,,
100027,40778,72584,13596,,,,,
100027,179087,105501,,,,,,
100027,162251,68972,113,,,,,
100027,216868,122407,12548,,,,,
100027,29891,171117,101,,,,,
100027,7087,35496,,,,,,
100027,206884,2693,179290,,,,,
100027,589,151197,89061,,,,,
100027,6984,223456,6582,,,,,
100027,3978,60139,219588,,,,,
100027,4931,136676,16448,,,,,
100027,137442,556,3074,,,,,
100027,180342,1405,1816,,,,,
100027,3,141268,34677,,,,,
100027,914,3505,4426,,,,,
100027,56782,11485,1009,,,,,
100027,58516,143520,21104,,,,,
100027,13629,21800,141876,,,,,
100027,1122,88,171097,,,,,
100027,128,109661,161005,,,,,
100027,533,28147,58770,,,,,
100404,18773,112960,16905,,,,,
100404,1347,74404,144558,,,,,
100404,49385,311,,,,,,
100404,13742,75279,48292,,,,,
100404,201338,1033,143,,,,,
100404,525,90475,1515,,,,,
100404,53543,131544,132924,,,,,
100404,5264,89197,5584,,,,,
100404,195798,260,4198,,,,,
100404,260,158468,4198,,,,,
100404,45785,161771,208922,,,,,
100404,54641,699,58913,,,,,
100404,118735,111621,10090,,,,,
100404,153711,67940,,,,,,
100404,46156,83497,127949,,,,,
100404,13285,4190,383,,,,,
100404,97457,217010,166555,,,,,
100404,549,32402,80,,,,,
100404,131785,171570,27855,,,,,
100404,57577,49724,96184,,,,,
100404,131015,143886,879,,,,,
100404,194695,111718,353,,,,,
100404,5899,40117,23185,,,,,
100404,10,5689,177,,,,,
100404,5264,5584,121418,,,,,
100404,19832,37389,167803,,,,,
100404,5899,40117,23185,,,,,
100404,2731,145798,205562,,,,,
100404,111937,1705,7194,,,,,
100404,48047,205025,699,,,,,
100404,2027,3549,448,,,,,
100404,2823,204231,2153,,,,,
100404,93862,19340,1003,,,,,
100404,37527,13955,6032,,,,,
100404,98464,15301,110379,,,,,
100404,899,8217,45601,,,,,
201243,122,8423,1320,,,,,
201243,6942,122,1773,,,,,
201243,122,40,120,,,,,
201243,130114,122683,26881,,,,,
201243,146224,282,,,,,,
201243,54614,9187,1238,,,,,
201243,8320,182824,195672,,,,,
201243,54631,912,14,,,,,
201243,1182,25,176584,,,,,
201243,1055,273,11950,,,,,
201243,167640,29953,125304,,,,,
201243,2741,20213,2866,,,,,
201243,122,8423,418,,,,,
201243,221218,67815,108313,,,,,
201243,1467,4504,47043,,,,,
201243,29517,4507,829,,,,,
201243,50611,45588,26966,,,,,
201243,45853,24551,125,,,,,
201243,1876,4048,219099,,,,,
201243,8336,158028,206261,,,,,
201243,19315,302,9085,,,,,
201243,3086,5221,193,,,,,
201243,120,8718,118508,,,,,
201243,18606,164,351,,,,,
201243,70343,21098,50109,,,,,
201243,50611,45588,26966,,,,,
201243,1110,1119,8830,,,,,
201243,19754,120721,34991,,,,,
201243,100675,47867,5328,,,,,
201243,11683,214598,195683,,,,,
100090,200267,141193,,,,,,
100090,181740,114970,,,,,,
100090,188707,32662,152822,,,,,
100090,7705,18381,29724,,,,,
100090,113621,179883,197278,,,,,
100090,55654,75295,16782,,,,,
100090,122612,9352,1942,,,,,
100090,53812,118964,45813,,,,,
100111,21676,10734,27588,,,,,
100111,194812,8695,32387,,,,,
100111,6287,12968,88342,,,,,
100111,172740,163569,75112,,,,,
100111,162077,4685,20022,,,,,
100111,71643,3946,1818,,,,,
100111,21676,10734,27588,,,,,
100111,22077,172578,35069,,,,,
100111,149993,873,58434,,,,,
